"","id_no","binomial"
"54892",59406,"Stereochilus marginatus"
"54893",55492,"Isthmohyla graceae"
"54894",135879,"Xenophrys zunhebotoensis"
"54895",59039,"Theloderma stellatum"
"54898",59119,"Aneides vagrans"
"54975",59610,"Ichthyophis beddomei"
"54976",41179,"Neobatrachus sudelli"
"54977",58825,"Pseudophilautus caeruleus"
"54979",190978,"Allobates algorei"
"54980",55020,"Hyalinobatrachium ignioculus"
"54981",58962,"Polypedates otilophus"
"54991",56643,"Eleutherodactylus guttilatus"
"55000",61755,"Incilius pisinnus"
"55001",58718,"Lithobates sierramadrensis"
"55002",56246,"Leptopelis brevipes"
"55003",55786,"Litoria trachydermis"
"55004",59398,"Pseudoeurycea tenchalli"
"55005",58615,"Odorrana hejiangensis"
"55007",59448,"Calotriton asper"
"55008",59537,"Chthonerpeton indistinctum"
"55014",56905,"Pristimantis repens"
"55016",55989,"Scinax proboscideus"
"55017",56558,"Pristimantis diadematus"
"55018",54746,"Amietophrynus reesi"
"55019",55730,"Litoria leucova"
"55020",55817,"Phasmahyla jandaia"
"55021",56782,"Craugastor myllomyllon"
"55022",59653,"Scolecomorphus vittatus"
"55031",596,"Afrixalus aureus"
"55033",55529,"Isthmohyla lancasteri"
"55035",61878,"Kurixalus ananjevae"
"55036",59043,"Scaphiopus hurterii"
"55037",61907,"Pseudoeurycea maxima"
"55038",56065,"Afrixalus knysnae"
"55039",58232,"Aubria occidentalis"
"55041",55816,"Phasmahyla guttata"
"55042",135849,"Plectrohyla miahuatlanensis"
"55043",59394,"Pseudoeurycea ruficauda"
"55045",54420,"Astylosternus nganhanus"
"55046",57911,"Oreophryne crucifer"
"55047",41143,"Crinia tasmaniensis"
"55049",56235,"Kassina schioetzi"
"55050",57232,"Noblella heyeri"
"55054",56262,"Leptopelis lebeaui"
"55055",56813,"Eleutherodactylus orcutti"
"55056",57057,"Pristimantis w-nigrum"
"55059",57897,"Micryletta steinegeri"
"55063",56714,"Eleutherodactylus leprus"
"55079",61897,"Bolitoglossa heiroreias"
"55081",54814,"Leptophryne borbonica"
"55082",55980,"Scinax nasicus"
"55083",56995,"Craugastor taurus"
"55085",58952,"Polypedates insularis"
"55086",29426,"Nototriton brodiei"
"55088",136125,"Mannophryne leonardoi"
"55089",136148,"Isthmohyla melacaena"
"55090",56602,"Eleutherodactylus flavescens"
"55091",57239,"Physalaemus albonotatus"
"55092",58318,"Ingerana baluensis"
"55100",59642,"Epicrionops marmoratus"
"55101",56475,"Eleutherodactylus brevirostris"
"55102",58629,"Rana johnsi"
"55106",55322,"Gastrotheca angustifrons"
"55111",56261,"Leptopelis kivuensis"
"55113",55810,"Osteopilus pulchrilineatus"
"55135",57076,"Eupsophus contulmoensis"
"55136",56822,"Eleutherodactylus pallidus"
"55140",59455,"Pachytriton labiatus"
"55142",55085,"Colostethus fugax"
"55143",59511,"Caecilia disossea"
"55144",56220,"Hyperolius viridigulosus"
"55145",58879,"Pseudophilautus nemus"
"55146",190914,"Anodonthyla pollicaris"
"55147",54828,"Melanophryniscus sanmartini"
"55152",61863,"Amolops medogensis"
"55153",135999,"Psychrophrynella guillei"
"55154",55677,"Dendropsophus tintinnabulum"
"55155",57655,"Xenophrys spinata"
"55156",56852,"Pristimantis phalarus"
"55157",57816,"Gastrophryne pictiventris"
"55158",59058,"Ambystoma granulosum"
"55159",56283,"Leptopelis vannutellii"
"55160",57981,"Probreviceps rhodesianus"
"55161",57342,"Telmatobius huayra"
"55162",55180,"Andinobates claudiae"
"55165",55223,"Ameerega hahneli"
"55166",56935,"Pristimantis ruidus"
"55167",54752,"Rhinella rumbolli"
"55168",59269,"Eurycea lucifuga"
"55169",59013,"Rhacophorus poecilonotus"
"55170",59553,"Gegeneophis ramaswamii"
"55171",41083,"Litoria chloris"
"55180",57640,"Philautus kempii"
"55182",55141,"Allobates ranoides"
"55183",136035,"Ischnocnema henselii"
"55186",22212,"Triturus cristatus"
"55237",55632,"Hypsiboas rosenbergi"
"55240",56410,"Craugastor amniscola"
"55241",57151,"Leptodactylus latrans"
"55245",57442,"Mantella crocea"
"55247",61786,"Litoria umarensis"
"55248",54886,"Altiphrynoides osgoodi"
"55249",136146,"Chiasmocleis magnova"
"55250",55565,"Dendropsophus minutus"
"55255",59201,"Bolitoglossa rostrata"
"55262",54925,"Nymphargus mariae"
"55263",55242,"Mannophryne collaris"
"55264",55975,"Scinax machadoi"
"55265",59084,"Batrachuperus londongensis"
"55266",1099,"Ambystoma cingulatum"
"55267",58364,"Limnonectes plicatellus"
"55268",54804,"Dendrophryniscus berthalutzae"
"55270",55001,"Cochranella xanthocheridia"
"55271",55746,"Litoria pratti"
"55273",55928,"Scinax arduous"
"55274",57160,"Leptodactylus rhodomystax"
"55275",58548,"Rana arvalis"
"55577",58563,"Lithobates bwana"
"55578",57295,"Proceratophrys bigibbosa"
"55580",57988,"Ramanella nagaoi"
"55581",58395,"Nyctibatrachus aliciae"
"55585",41134,"Crinia georgiana"
"55586",58717,"Hylarana siberu"
"55600",57468,"Gephyromantis boulengeri"
"55604",56515,"Eleutherodactylus cochranae"
"55612",55668,"Exerodonta sumichrasti"
"55613",59033,"Theloderma corticale"
"55615",136184,"Hypsiboas nympha"
"55616",54892,"Truebella tothastes"
"55617",57479,"Spinomantis elegans"
"55618",58263,"Euphlyctis hexadactylus"
"55644",56114,"Hyperolius balfouri"
"55645",136133,"Leptodactylus turimiquensis"
"55646",136122,"Mannophryne trujillensis"
"55647",135844,"Gastrotheca carinaceps"
"55648",57156,"Leptodactylus plaumanni"
"55649",58674,"Hylarana mortenseni"
"55652",135880,"Limnonectes poilani"
"55653",54764,"Rhinella stanlaii"
"55654",57292,"Pleurodema tucumanum"
"55656",59582,"Oscaecilia koepckeorum"
"55657",54411,"Cardioglossa venusta"
"55660",58639,"Hylarana laterimaculata"
"55661",54348,"Austrochaperina fryi"
"55662",61785,"Litoria singadanae"
"55663",59144,"Bolitoglossa celaque"
"55668",58914,"Raorchestes munnarensis"
"55669",54525,"Atelopus mandingues"
"55670",54914,"Nymphargus grandisonae"
"55673",58626,"Hylarana jimiensis"
"55677",56057,"Afrixalus clarkei"
"55679",54463,"Andinophryne olallai"
"55681",55589,"Dendropsophus parviceps"
"55683",57733,"Callulops dubius"
"55684",57382,"Philoria richmondensis"
"55685",58187,"Amietia inyangae"
"55687",57105,"Oreobates quixensis"
"55688",43152318,"Ranitomeya sirensis"
"55689",190999,"Pristimantis divnae"
"55691",54842,"Nectophrynoides poyntoni"
"55692",57872,"Metaphrynella sundana"
"55702",58248,"Nanorana unculuanus"
"55703",56219,"Hyperolius viridiflavus"
"55704",136099,"Litoria kuduki"
"55705",57858,"Kaloula taprobanica"
"55707",56120,"Hyperolius bopeleti"
"55708",58200,"Hylarana occidentalis"
"55712",61845,"Breviceps fichus"
"55713",58754,"Lithobates zweifeli"
"55719",56628,"Pristimantis grandiceps"
"55721",56562,"Eleutherodactylus dimidiatus"
"55725",58054,"Pelobates varaldii"
"55729",55257,"Aromobates meridensis"
"55730",55317,"Flectonotus goeldii"
"55731",56285,"Leptopelis viridis"
"55732",56098,"Heterixalus betsileo"
"55733",56945,"Pristimantis sanctaemartae"
"55734",41052,"Spicospina flammocaerulea"
"55735",55720,"Litoria dorsivena"
"55736",56948,"Craugastor montanus"
"55737",56482,"Strabomantis bufoniformis"
"55740",135883,"Hypsiboas jimenezi"
"55741",41053,"Uperoleia arenicola"
"55742",56496,"Pristimantis carvalhoi"
"55743",57891,"Microhyla pulchra"
"55752",56638,"Ischnocnema guentheri"
"55756",59294,"Nototriton gamezi"
"55757",136154,"Pseudis boliviana"
"55758",57485,"Blommersia grandisonae"
"55759",58512,"Ptychadena nana"
"55761",45331497,"Amietia fuscigula"
"55762",136050,"Leptodactylus rhodomerus"
"55763",55787,"Litoria michaeltyleri"
"55764",56586,"Ischnocnema erythromera"
"55765",58657,"Hylarana malabarica"
"55766",58167,"Xenopus tropicalis"
"55767",12149,"Litoria nyakalensis"
"55768",54359,"Amietia vertebralis"
"55769",58909,"Raorchestes graminirupes"
"55770",55202,"Minyobates steyermarki"
"55771",55823,"Trachycephalus resinifictrix"
"55772",57634,"Xenophrys caudoprocta"
"55773",58804,"Nyctixalus margaritifer"
"55775",58407,"Ingerana borealis"
"55777",58642,"Hylarana leptoglossa"
"55783",59568,"Indotyphlus battersbyi"
"55786",57398,"Boophis elenae"
"55789",193431,"Ranitomeya benedicta"
"55790",186161,"Raorchestes coonoorensis"
"55791",59053,"Ambystoma barbouri"
"55795",196452,"Ceuthomantis duellmani"
"55796",57078,"Eupsophus nahuelbutensis"
"55797",136097,"Allobates caribe"
"55798",55776,"Litoria montana"
"55799",58164,"Pipa snethlageae"
"55800",55079,"Hyloxalus faciopunctulatus"
"55801",58072,"Cacosternum platys"
"55802",55435,"Exerodonta catracha"
"55806",57736,"Callulops glandulosus"
"55807",57829,"Hylophorbus tetraphonus"
"55810",58795,"Chiromantis shyamrupus"
"55811",135836,"Pristimantis tanyrhynchus"
"55812",54992,"Nymphargus siren"
"55815",174591,"Arthroleptis krokosua"
"55816",3070,"Breviceps macrops"
"55817",23124,"Xenopus gilli"
"55820",54785,"Incilius tutelarius"
"55827",135756,"Rulyrana erminea"
"55828",56416,"Eleutherodactylus andrewsi"
"55829",59106,"Hynobius yiwuensis"
"55831",56739,"Pristimantis malkini"
"55832",61853,"Microhyla pulverata"
"55833",136030,"Psychrophrynella illampu"
"55834",55525,"Scinax karenanneae"
"55836",57089,"Hylodes dactylocinus"
"55837",59532,"Caecilia thompsoni"
"55840",136021,"Psychrophrynella boettgeri"
"55841",41044,"Crinia sloanei"
"55842",54521,"Atelopus longibrachius"
"55843",57574,"Leptolalax pluvialis"
"55844",55318,"Flectonotus ohausi"
"55845",55837,"Phyllodytes tuberculosus"
"55846",54687,"Pseudepidalea latastii"
"55847",58045,"Xenorhina eiponis"
"55848",59202,"Bolitoglossa rufescens"
"55862",59207,"Bolitoglossa sima"
"55863",56072,"Afrixalus orophilus"
"55866",57908,"Oreophryne brevicrus"
"55868",190979,"Ameerega boehmei"
"55869",41095,"Litoria infrafrenata"
"55953",54934,"Espadarana prosoblepon"
"55955",58637,"Pelophylax kurtmuelleri"
"55982",59603,"Ichthyophis larutensis"
"55984",58761,"Staurois latopalmatus"
"55985",59249,"Desmognathus fuscus"
"55988",59555,"Geotrypetes angeli"
"55991",61829,"Phrynopus bufoides"
"55992",136179,"Hynobius yangi"
"55993",54598,"Epidalea calamita"
"56060",55519,"Hyla japonica"
"56108",56977,"Craugastor stejnegerianus"
"56112",59539,"Chthonerpeton onorei"
"56113",58073,"Cacosternum striatum"
"56115",136110,"Rhinella achavali"
"56116",55671,"Charadrahyla taeniopus"
"56118",57861,"Liophryne allisoni"
"56119",56823,"Pristimantis palmeri"
"56121",58161,"Pipa myersi"
"56123",61808,"Pristimantis huicundo"
"56124",41093,"Litoria gracilenta"
"56134",55014,"Hyalinobatrachium fleischmanni"
"56146",56535,"Pristimantis cruentus"
"56147",56041,"Tepuihyla celsae"
"56148",57310,"Pseudopaludicola boliviana"
"56149",57915,"Oreophryne hypsiops"
"56150",57298,"Proceratophrys concavitympanum"
"56151",57094,"Hylodes meridionalis"
"56152",57266,"Physalaemus nanus"
"56153",56454,"Pristimantis batrachites"
"56154",55458,"Dendropsophus cruzi"
"56155",54493,"Atelopus boulengeri"
"56157",57615,"Scutiger mammatus"
"56158",58625,"Rana japonica"
"56188",54471,"Ansonia latidisca"
"56190",59323,"Oedipina savagei"
"56191",59351,"Plethodon punctatus"
"56192",61783,"Litoria kumae"
"56193",59308,"Oedipina carablanca"
"56194",58089,"Phrynobatrachus albomarginatus"
"56195",136114,"Rana sierrae"
"56198",56229,"Kassina kuvangensis"
"56199",54937,"Centrolene quindianum"
"56200",55358,"Gastrotheca ruizi"
"56201",58752,"Rana zhengi"
"56202",54686,"Amietophrynus langanoensis"
"56203",135828,"Eleutherodactylus juanariveroi"
"56204",20454,"Speleomantes ambrosii"
"56206",56715,"Pristimantis leptolophus"
"56209",18435486,"Elachistocleis bumbameuboi"
"56211",193429,"Callulina stanleyi"
"56212",136115,"Hydrolaetare caparu"
"56213",57968,"Plethodontohyla brevipes"
"56214",55303,"Corythomantis greeningi"
"56215",61748,"Rhinella abei"
"56216",59648,"Crotaphatrema bornmuelleri"
"56217",41101,"Litoria nasuta"
"56227",57355,"Telmatobius pinguiculus"
"56228",56096,"Heterixalus alboguttatus"
"56229",57270,"Engystomops petersi"
"56231",56665,"Craugastor inachus"
"56233",58749,"Lithobates warszewitschii"
"56235",12150,"Litoria pearsoniana"
"56238",41097,"Litoria longirostris"
"56239",41167,"Limnodynastes terraereginae"
"56247",57553,"Leptobrachium hainanense"
"56248",59401,"Pseudoeurycea unguidentis"
"56249",54456,"Brachycephalus vertebralis"
"56250",59383,"Pseudoeurycea leprosa"
"56259",58067,"Cacosternum karooicum"
"56260",41031,"Litoria cavernicola"
"56261",55006,"Hyalinobatrachium chirripoi"
"56266",54959,"Cochranella euhystrix"
"56267",57842,"Kalophrynus orangensis"
"56268",59613,"Ichthyophis billitonensis"
"56269",56915,"Eleutherodactylus ricordii"
"56270",176285,"Arthroleptis nguruensis"
"56271",55101,"Anomaloglossus lacrimosus"
"56272",61800,"Alsodes igneus"
"56273",57028,"Pristimantis vanadise"
"56274",57583,"Megophrys stejnegeri"
"56289",55266,"Alytes cisternasii"
"56290",54921,"Centrolene lema"
"56291",59009,"Rhacophorus notater"
"56292",58922,"Philautus surrufus"
"56295",55957,"Scinax fuscomarginatus"
"56296",55936,"Scinax boesemani"
"56297",56569,"Pristimantis dorsopictus"
"56298",59310,"Oedipina complex"
"56302",57716,"Breviceps mossambicus"
"56303",57595,"Oreolalax nanjiangensis"
"56304",59573,"Microcaecilia taylori"
"56305",57189,"Odontophrynus cordobae"
"56306",58852,"Pseudophilautus halyi"
"56307",58974,"Rhacophorus arvalis"
"56309",57371,"Thoropa miliaris"
"56310",58682,"Hylarana novaeguineae"
"56321",61771,"Bokermannohyla ahenea"
"56322",59499,"Boulengerula uluguruensis"
"56325",57053,"Eleutherodactylus weinlandi"
"56327",58987,"Rhacophorus dennysi"
"56329",55636,"Hypsiboas rufitelus"
"56331",55366,"Hemiphractus bubalus"
"56332",57704,"Barygenys atra"
"56333",58436,"Quasipaa robertingeri"
"56334",3776,"Capensibufo rosei"
"56336",55348,"Gastrotheca ochoai"
"56337",57497,"Gephyromantis luteus"
"56340",54511,"Atelopus flavescens"
"56341",57455,"Guibemantis albolineatus"
"56345",55232,"Ameerega pongoensis"
"56346",55827,"Phrynomedusa marginata"
"56347",57982,"Probreviceps rungwensis"
"56351",18435628,"Bolitoglossa indio"
"56352",136167,"Allobates granti"
"56353",190995,"Mannophryne speeri"
"56354",54455,"Brachycephalus pernix"
"56355",54566,"Bufo ailaoanus"
"56356",59044,"Spea bombifrons"
"56358",59565,"Herpele squalostoma"
"56360",58188,"Amietia johnstoni"
"56361",55273,"Heleophryne natalensis"
"56362",135858,"Platymantis paengi"
"56363",135770,"Leptolalax solus"
"56364",41150,"Heleioporus eyrei"
"56367",57890,"Microhyla picta"
"56368",57852,"Kaloula kokacii"
"56372",58854,"Philautus hosii"
"56375",17625,"Plethodon larselli"
"56378",55343,"Gastrotheca longipes"
"56379",56511,"Eleutherodactylus chlorophenax"
"56380",56888,"Craugastor punctariolus"
"56385",58864,"Raorchestes longchuanensis"
"56387",59153,"Bolitoglossa diaphora"
"56388",58534,"Ptychadena wadei"
"56389",57699,"Austrochaperina polysticta"
"56390",58146,"Phrynobatrachus ukingensis"
"56394",136098,"Allobates niputidea"
"56395",54580,"Bufo aspinius"
"56396",58545,"Amolops archotaphus"
"56397",58453,"Platymantis browni"
"56399",54376,"Arthroleptis mossoensis"
"56400",57199,"Psychrophrynella adenopleura"
"56401",54709,"Anaxyrus microscaphus"
"56402",47255219,"Hyalinobatrachium pellucidum"
"56404",55220,"Ameerega erythromos"
"56406",57068,"Pristimantis zophus"
"56408",190944,"Anodonthyla vallani"
"56409",55284,"Hemisus perreti"
"56410",57531,"Gephyromantis ventrimaculatus"
"56411",59395,"Pseudoeurycea saltator"
"56412",136161,"Choerophryne burtoni"
"56413",8392,"Eurycea sosorum"
"56414",54401,"Cardioglossa escalerae"
"56415",56851,"Eleutherodactylus pezopetrus"
"56416",56978,"Pristimantis stenodiscus"
"56417",57666,"Albericus laurini"
"56418",59238,"Dendrotriton cuchumatanus"
"56420",55446,"Hyloscirtus chlorosteus"
"56421",55796,"Itapotihyla langsdorffii"
"56424",54975,"Centrolene ocellifera"
"56426",58793,"Chiromantis punctatus"
"56427",58328,"Limnonectes asperatus"
"56429",55428,"Hypsiboas callipleura"
"56430",136093,"Pristimantis phalaroinguinis"
"56431",56855,"Pristimantis phoxocephalus"
"56433",55050,"Anomaloglossus ayarzaguenai"
"56434",56034,"Stefania roraimae"
"56437",61902,"Desmognathus abditus"
"56438",39263,"Eurycea robusta"
"56439",190982,"Arthroleptis perreti"
"56440",56579,"Craugastor emleni"
"56441",135783,"Polypedates chlorophthalmus"
"56442",54708,"Anaxyrus mexicanus"
"56443",59570,"Microcaecilia albiceps"
"56444",41102,"Litoria nigrofrenata"
"56462",55635,"Hypsiboas rubracylus"
"56464",57977,"Plethodontohyla ocellata"
"56466",59412,"Thorius infernalis"
"56467",56372,"Cycloramphus jordanensis"
"56468",54484,"Ansonia tiomanica"
"56469",10356,"Bokermannohyla langei"
"56470",54943,"Rulyrana adiazeta"
"56471",58903,"Raorchestes signatus"
"56472",58705,"Pelophylax ridibundus"
"56497",56434,"Eleutherodactylus atkinsi"
"56502",135835,"Centrolene durrellorum"
"56503",56054,"Acanthixalus sonjae"
"56506",58651,"Rana macrocnemis"
"56512",29451,"Platymantis naomii"
"56513",55595,"Exerodonta perkinsi"
"56514",56438,"Craugastor augusti"
"56516",61758,"Incilius signifer"
"56517",55726,"Litoria impura"
"56519",57887,"Microhyla palmipes"
"56533",136084,"Physalaemus irroratus"
"56534",41163,"Limnodynastes peronii"
"56545",55717,"Litoria darlingtoni"
"56546",57260,"Physalaemus jordanensis"
"56547",55996,"Scinax squalirostris"
"56549",58572,"Rana chensinensis"
"56551",55468,"Hyloscirtus denticulentus"
"56552",55485,"Dendropsophus garagoensis"
"56553",57000,"Pristimantis terraebolivaris"
"56554",57820,"Glyphoglossus molossus"
"56555",54559,"Atelopus tricolor"
"56556",57683,"Asterophrys turpicola"
"56560",59333,"Plethodon cheoah"
"56561",55429,"Aplastodiscus callipygius"
"56562",18435568,"Bryophryne nubilosus"
"56563",135808,"Gastrotheca fulvorufa"
"56565",158477,"Phasmahyla spectabilis"
"56567",56704,"Pristimantis laticlavius"
"56568",58808,"Pseudophilautus abundus"
"56569",135817,"Pristimantis meridionalis"
"56570",61756,"Rhinella pombali"
"56571",135964,"Polypedates occidentalis"
"56572",135738,"Espadarana callistomma"
"56573",14663,"Sooglossus thomasseti"
"56576",136173,"Atelopus onorei"
"56577",59264,"Eurycea cirrigera"
"56578",55193,"Excidobates mysteriosus"
"56579",57712,"Breviceps adspersus"
"56581",135854,"Pristimantis caeruleonotus"
"56582",56710,"Pristimantis lentiginosus"
"56584",8391,"Eurycea nana"
"56585",56110,"Hyperolius ademetzi"
"56586",136062,"Xenophrys binchuanensis"
"56587",56690,"Pristimantis karcharias"
"56588",57267,"Eupemphix nattereri"
"56589",59640,"Epicrionops columbianus"
"56591",55418,"Hyloscirtus bogotensis"
"56592",57264,"Engystomops montubio"
"56593",56708,"Eleutherodactylus leberi"
"56594",56859,"Eleutherodactylus pinarensis"
"56604",58369,"Meristogenys amoropalamus"
"56606",56693,"Eleutherodactylus klinikowskii"
"56607",59617,"Ichthyophis garoensis"
"56608",58605,"Rana graeca"
"56618",57465,"Mantidactylus biporus"
"56620",59113,"Liua tsinpaensis"
"56621",56928,"Eleutherodactylus rubrimaculatus"
"56622",56259,"Leptopelis jordani"
"56623",58776,"Tomopterna delalandii"
"56624",55399,"Myersiohyla aromatica"
"56625",56266,"Leptopelis modestus"
"56633",57653,"Xenophrys shapingensis"
"56634",59224,"Chiropterotriton cracens"
"56635",42392360,"Grandisonia sechellensis"
"56638",58556,"Hylarana banjarana"
"56640",56320,"Alsodes valdiviensis"
"56641",56521,"Pristimantis conspicillatus"
"56642",56200,"Hyperolius rubrovermiculatus"
"56643",55674,"Ecnomiohyla thysanota"
"56644",59086,"Batrachuperus taibaiensis"
"56645",57368,"Telmatobius vilamensis"
"56646",55572,"Aplastodiscus musicus"
"56647",56967,"Pristimantis simoterus"
"56648",58021,"Syncope tridactyla"
"56649",61788,"Litoria wilcoxii"
"56650",18435550,"Atelopus podocarpus"
"56651",136112,"Boophis tampoka"
"56652",58906,"Philautus similipalensis"
"56653",41201,"Uperoleia russelli"
"56656",56178,"Hyperolius parkeri"
"56658",55065,"Hyloxalus cevallosi"
"56660",57883,"Microhyla karunaratnei"
"56662",135839,"Nannophrys naeyakai"
"56664",135966,"Phyllomedusa azurea"
"56665",29472,"Eleutherodactylus goini"
"56666",55437,"Aplastodiscus cavicola"
"56667",57627,"Leptobrachium leishanense"
"56668",59336,"Plethodon dorsalis"
"56669",135759,"Staurois parvus"
"56671",59154,"Bolitoglossa digitigrada"
"56672",58271,"Zakerana greenii"
"56673",58351,"Limnonectes macrodon"
"56677",9031,"Geocrinia alba"
"56678",136123,"Rhinella cerradensis"
"56679",54437,"Leptodactylodon polyacanthus"
"56681",56413,"Craugastor anciano"
"56682",55089,"Allobates gasconi"
"56683",57744,"Callulops stictogaster"
"56684",56591,"Pristimantis eugeniae"
"56685",54369,"Arthroleptis crusculum"
"56686",55179,"Adelphobates castaneoticus"
"56690",58090,"Phrynobatrachus alleni"
"56692",135784,"Craugastor chingopetaca"
"56695",56871,"Pristimantis polychrus"
"56696",57598,"Oreolalax popei"
"56697",54730,"Incilius peripatetes"
"56699",56540,"Craugastor cuaquero"
"56700",57456,"Mantidactylus alutus"
"56701",59645,"Epicrionops peruvianus"
"56702",55095,"Hyloxalus infraguttatus"
"56703",56532,"Pristimantis cristinae"
"56704",56875,"Eleutherodactylus portoricensis"
"56705",59155,"Bolitoglossa diminuta"
"56706",2295,"Chaltenobatrachus grandisonae"
"56707",55517,"Hyla intermedia"
"56709",57548,"Leptobrachella serasanae"
"56711",57836,"Kalophrynus heterochirus"
"56722",18582,"Pseudophryne corroboree"
"56723",59285,"Hemidactylium scutatum"
"56728",55794,"Osteocephalus fuscifacies"
"56729",55853,"Phyllomedusa hypochondrialis"
"56731",56236,"Kassina senegalensis"
"56734",19514,"Rhinoderma rufum"
"56735",57551,"Leptobrachium chapaense"
"56736",59114,"Salamandrella keyserlingii"
"56745",59234,"Cryptotriton alvarezdeltoroi"
"56747",57826,"Hylophorbus richardsi"
"56748",56386,"Pristimantis aaptus"
"56749",41139,"Crinia remota"
"56751",41196,"Uperoleia laevigata"
"56757",57529,"Gephyromantis tschenki"
"56758",58324,"Lankanectes corrugatus"
"56759",59183,"Bolitoglossa morio"
"56762",135987,"Amolops panhai"
"56763",56719,"Eleutherodactylus limbatus"
"56774",57191,"Odontophrynus lavillai"
"56775",58360,"Limnonectes modestus"
"56794",58630,"Lithobates juliani"
"56795",55383,"Dendropsophus allenorum"
"56797",55252,"Mannophryne yustizi"
"56799",57853,"Kaloula mediolineata"
"56801",58729,"Rana tagoi"
"56828",41181,"Neobatrachus wilsmorei"
"56829",56895,"Diasporus quidditus"
"56830",56570,"Pristimantis douglasi"
"56831",56264,"Leptopelis marginatus"
"56832",56575,"Hypodactylus elassodiscus"
"56833",55870,"Plectrohyla acanthodes"
"56836",55559,"Hypsiboas microderma"
"56839",21582,"Telmatobius halli"
"56840",55194,"Oophaga occultator"
"56841",57730,"Callulops boettgeri"
"56842",57324,"Telmatobius arequipensis"
"56843",61871,"Odorrana khalam"
"56845",58214,"Amolops kaulbacki"
"56846",56137,"Hyperolius fusciventris"
"56848",55411,"Dendropsophus bipunctatus"
"56849",59218,"Bolitoglossa yucatana"
"56852",54692,"Mertensophryne lindneri"
"56853",41121,"Cophixalus hosmeri"
"56854",58472,"Platymantis neckeri"
"56860",54460,"Altiphrynoides malcolmi"
"56861",135834,"Osteocephalus phasmatus"
"56862",55470,"Dendropsophus ebraccatus"
"56879",54744,"Pseudepidalea raddei"
"56880",57984,"Ramanella anamalaiensis"
"56881",58053,"Pelobates syriacus"
"56899",56647,"Pristimantis hectus"
"56902",56245,"Leptopelis boulengeri"
"56904",56992,"Craugastor talamancae"
"56905",56451,"Eleutherodactylus barlagnei"
"56906",58892,"Pseudophilautus regius"
"56907",55371,"Hemiphractus scutatus"
"56908",55003,"Hyalinobatrachium aureoguttatum"
"56911",57564,"Leptolalax dringi"
"56915",41188,"Pseudophryne guentheri"
"56918",56343,"Chacophrys pierottii"
"56920",56828,"Pristimantis pardalis"
"56924",135794,"Pseudis platensis"
"56925",58677,"Lithobates neovolcanicus"
"56926",54373,"Arthroleptis lameerei"
"56927",57045,"Ischnocnema vinhai"
"56929",61887,"Pseudophilautus poppiae"
"56930",55711,"Litoria brongersmai"
"56931",59142,"Bolitoglossa capitana"
"56932",56021,"Sphaenorhynchus prasinus"
"56933",59092,"Hynobius chinensis"
"56935",58926,"Raorchestes tinniens"
"56936",54889,"Mertensophryne loveridgei"
"56937",56179,"Hyperolius phantasticus"
"56938",135913,"Scinax camposseabrai"
"56939",41057,"Uperoleia martini"
"56940",58816,"Raorchestes annandalii"
"56942",55755,"Litoria timida"
"56943",56661,"Oreobates ibischi"
"56944",57362,"Telmatobius simonsi"
"56945",57229,"Phrynopus thompsoni"
"56946",59165,"Bolitoglossa guaramacalensis"
"56947",54782,"Bufo tuberculatus"
"56948",57573,"Leptolalax pictus"
"56950",59071,"Ambystoma texanum"
"56956",58302,"Huia cavitympanum"
"56958",190984,"Bryophryne gymnotis"
"56959",56319,"Alsodes pehuenche"
"56961",55450,"Hypsiboas cipoensis"
"56962",57390,"Boophis anjanaharibeensis"
"56963",56408,"Eleutherodactylus alticola"
"56964",136136,"Kassina jozani"
"56965",55448,"Hyla chrysoscelis"
"56968",54492,"Atelopus bomolochos"
"56970",55138,"Hyloxalus pumilus"
"56971",55964,"Scinax humilis"
"56972",56287,"Leptopelis zebra"
"56973",136080,"Leptodactylus peritoaktites"
"56975",56936,"Strabomantis ruizi"
"56976",57668,"Albericus siegfriedi"
"56977",59469,"Taricha granulosa"
"56982",11700,"Leptopelis xenodactylus"
"56983",57786,"Cophixalus shellyi"
"56986",7148,"Eleutherodactylus sisyphodemus"
"56987",58474,"Platymantis papuensis"
"57020",59094,"Hynobius kimurae"
"57021",54398,"Cardioglossa cyaneospila"
"57022",57780,"Cophixalus monticola"
"57023",61781,"Litoria auae"
"57025",54784,"Amietophrynus turkanae"
"57027",55597,"Ecnomiohyla phantasmagoria"
"57029",55865,"Phyllomedusa tetraploidea"
"57031",57830,"Hylophorbus wondiwoi"
"57032",55834,"Phyllodytes kautskyi"
"57033",59168,"Bolitoglossa hermosa"
"57034",41076,"Litoria platycephala"
"57037",55909,"Ptychohyla erythromma"
"57039",56725,"Eleutherodactylus locustus"
"57040",54696,"Poyntonophrynus lughensis"
"57042",59255,"Desmognathus orestes"
"57043",56078,"Afrixalus spinifrons"
"57044",10615,"Hynobius hidamontanus"
"57046",56437,"Eleutherodactylus audanti"
"57050",57958,"Platypelis mavomavo"
"57051",57954,"Platypelis alticola"
"57052",58451,"Platymantis bimaculatus"
"57053",57322,"Rupirana cardosoi"
"57054",54664,"Incilius holdridgei"
"57055",57986,"Ramanella montana"
"57060",54614,"Incilius coniferus"
"57064",54866,"Pelophryne brevipes"
"57085",55627,"Isthmohyla rivularis"
"57087",56681,"Eleutherodactylus jamaicensis"
